date,yoy_pct,original_value
1978-05-03,15.245564363044451,677.8441
1978-05-10,15.340151185845507,679.8077
1978-05-17,15.459551123610883,683.04
1978-05-24,15.582898440184367,685.5617
1978-05-31,16.009995711998037,690.9734
1978-06-07,16.27114603270543,692.5342
1978-06-14,15.811225025181175,693.0871
1978-06-21,16.35248905264246,696.9549
1978-06-28,16.47170010707042,700.9812
1978-07-05,16.818823893715475,703.1957
1978-07-12,16.71998806484767,704.125
1978-07-19,16.396764976461032,705.111
1978-07-26,16.633081702802954,708.0413
1978-08-02,16.335685346529893,708.727
1978-08-09,15.817955221805668,708.97
1978-08-16,16.27384368635354,711.9087
1978-08-23,16.44747288916204,713.5355
1978-08-30,16.196486357856443,715.5906
1978-09-06,16.268747355978654,718.1538
1978-09-13,16.318982270124295,719.641
1978-09-20,16.55526675987078,723.7279
1978-09-27,16.765993377648304,727.1127
1978-10-04,16.72796766936542,728.1256
1978-10-11,16.78798133027759,731.4652
1978-10-18,16.587699373911846,732.5183
1978-10-25,16.847605598453463,735.5919
1978-11-01,17.32213451407634,741.0093
1978-11-08,16.986591504002256,740.37
1978-11-15,17.340945281290466,743.966
1978-11-22,17.75422582677024,747.0427
1978-11-29,17.616040481264683,748.9072
1978-12-06,17.460529541611834,750.77
1978-12-13,17.488011917715585,753.0138
1978-12-20,17.423836857322385,757.6038
1978-12-27,17.408720572601343,760.0423
1979-01-03,16.114544721923796,752.6921
1979-01-10,16.466369812692427,756.1614
1979-01-17,16.82171763044944,756.1406
1979-01-24,16.982213256835443,760.0435
1979-01-31,16.806504545300328,760.8882
1979-02-07,16.527574979793247,762.2219
1979-02-14,16.845415248077742,763.614
1979-02-21,17.015289693585657,765.6734
1979-02-28,16.57105398032972,767.8526
1979-03-07,16.542393101318332,769.7998
1979-03-14,16.181345021229987,771.8984
1979-03-21,16.610446528839272,775.7763
1979-03-28,16.459874611152124,778.4001
1979-04-04,16.490300809927373,781.1447
1979-04-11,16.94681947521426,785.5305
1979-04-18,16.746435607372234,787.272
1979-04-25,16.78328834536915,789.7095
1979-05-02,16.77142280946311,791.5282
1979-05-09,16.82475794257701,794.1837
1979-05-16,16.71224232841415,797.1913
1979-05-23,16.70301885300769,800.0712
1979-05-30,16.050559978141,801.8785
1979-06-06,16.43758532069606,806.3701
1979-06-13,16.67155542211074,808.6355
1979-06-20,16.620458511734416,812.792
1979-06-27,16.397258585536978,815.9229
1979-07-04,16.497498491529463,819.2054
1979-07-11,16.939336055387887,823.3991
1979-07-18,16.780223255629267,823.4302
1979-07-25,16.808624016706375,827.0533
1979-08-01,16.752698853013936,827.4579
1979-08-08,16.938586964187465,829.0595
1979-08-15,16.72083793890986,830.9458
1979-08-22,16.712777430134885,832.7871
1979-08-29,16.50547114509329,833.7022
1979-09-05,16.733128753200212,838.3234
1979-09-12,16.831364527590843,840.7664
1979-09-19,16.877779618555543,845.8771
1979-09-26,16.374641785241817,846.1748
1979-10-03,16.242623525391785,846.3923
1979-10-10,16.16921761964889,849.7374
1979-10-17,15.809925840760574,848.3289
1979-10-24,15.405852076402681,848.9161
1979-10-31,14.560505515922673,848.904
1979-11-07,14.386563475019232,846.8838
1979-11-14,13.930139280558507,847.6015
1979-11-21,13.344993532498206,846.7355
1979-11-28,12.855344427186699,845.1818
1979-12-05,13.10645071060379,849.1693
1979-12-12,12.933415031703266,850.4042
1979-12-19,12.492202388636375,852.2452
1979-12-26,12.360022593479346,853.9837
1980-01-02,13.636625122012047,855.3339
1980-01-09,13.332008219409254,856.9729
1980-01-16,13.35217286308923,857.1018
1980-01-23,12.982059579484595,858.7128
1980-01-30,12.796387169626232,858.2544
1980-02-06,13.326932747537157,863.8027
1980-02-13,13.436356588538189,866.2159
1980-02-20,13.714215486655279,870.6795
1980-02-27,13.360663231458748,870.4428
1980-03-05,13.527101461964541,873.9314
1980-03-12,13.456641444003514,875.77
1980-03-19,12.96487144554428,876.3547
1980-03-26,12.605509685828675,876.5214
1980-04-02,12.708695328791197,880.418
1980-04-09,11.868399762962746,878.7604
1980-04-16,11.347755286609962,876.6097
