date,yoy_pct,original_value
2005-07-27,5.2128396363429585,814259.0
2005-08-03,6.055809917301858,818841.0
2005-08-10,5.106042781096232,808544.0
2005-08-17,6.01606315830614,813774.0
2005-08-24,4.626552511680515,811313.0
2005-08-31,4.834497047523589,823237.0
2005-09-07,4.298492775823548,822500.0
2005-09-14,4.367098873693487,823590.0
2005-09-21,3.938250200735438,812926.0
2005-09-28,4.761486907532464,823771.0
2005-10-05,4.523028945594465,817137.0
2005-10-12,3.874752823127592,826306.0
2005-10-19,3.736142500070061,814281.0
2005-10-26,3.509128865614608,819105.0
2005-11-02,3.03825681296106,814571.0
2005-11-09,3.062939037294199,824991.0
2005-11-16,3.6737649384830373,823263.0
2005-11-23,2.86040229345792,833124.0
2005-11-30,3.4688741771088605,835059.0
2005-12-07,3.0618618544332454,833250.0
2005-12-14,2.964209420243158,830950.0
2005-12-21,4.558424222853019,848317.0
2005-12-28,4.532495462078767,847700.0
2006-01-04,4.432255897374282,851856.0
2006-01-11,3.8702243708161443,829357.0
2006-01-18,3.6038961038961093,836042.0
2006-01-25,2.6805423765766223,828901.0
2006-02-01,3.362800187885373,831808.0
2006-02-08,3.802086795543458,827613.0
2006-02-15,4.98161150117018,835240.0
2006-02-22,4.4717963250208825,840555.0
2006-03-01,4.755557552430445,839356.0
2006-03-08,5.002690021895528,839234.0
2006-03-15,4.434899920838542,843010.0
2006-03-22,5.1322679633769575,838003.0
2006-03-29,3.2349659649978824,833675.0
2006-04-05,4.673364880406661,834589.0
2006-04-12,3.8667902848057656,836862.0
2006-04-19,4.31021473123363,836352.0
2006-04-26,4.294286098861821,844572.0
2006-05-03,5.166298609691777,843867.0
2006-05-10,3.714475158898445,838405.0
2006-05-17,4.567049177464555,838153.0
2006-05-24,3.714204601560178,840251.0
2006-05-31,4.189836480757592,851580.0
2006-06-07,4.286809175456785,849074.0
2006-06-14,4.2740489991346164,845869.0
2006-06-21,4.237755559092782,844773.0
2006-06-28,4.240805251814006,844436.0
2006-07-05,3.6641446231297614,851659.0
2006-07-12,4.392596502983825,844391.0
2006-07-19,4.05115547916024,849894.0
2006-07-26,3.3518818950726947,841552.0
2006-08-02,3.837375021524325,850263.0
2006-08-09,3.8911920687062285,840006.0
2006-08-16,3.576177169582717,842876.0
2006-08-23,3.287757006235581,837987.0
2006-08-30,3.363308500468265,850925.0
2006-09-06,3.1725227963525837,848594.0
2006-09-13,2.1000740659794292,840886.0
2006-09-20,3.1080319733899575,838192.0
2006-09-27,3.180495550341056,849971.0
2006-10-04,3.078920670585217,842296.0
2006-10-11,3.997671564771399,859339.0
2006-10-18,3.6742844300677424,844200.0
2006-10-25,4.09507938542677,852648.0
2006-11-01,5.0290275494708325,855536.0
2006-11-08,4.07749902726211,858630.0
2006-11-15,3.921954466555655,855551.0
2006-11-22,3.841204910673568,865126.0
2006-11-29,2.588080602687959,856671.0
2006-12-06,3.4717071707170755,862178.0
2006-12-13,2.756002166195315,853851.0
2006-12-20,1.9677785544790494,865010.0
2006-12-27,2.629232039636653,869988.0
2007-01-03,2.672986983715564,874626.0
2007-01-10,3.0700892378071165,854819.0
2007-01-17,2.789453161444033,859363.0
2007-01-24,2.7571447012369354,851755.0
2007-01-31,4.078104562591367,865730.0
2007-02-07,3.316042643119421,855057.0
2007-02-14,3.8263253675590247,867199.0
2007-02-21,3.4120313364384147,869235.0
2007-02-28,4.533594803635177,877409.0
2007-03-07,3.011198307027607,864505.0
2007-03-14,3.9261693218348492,876108.0
2007-03-21,2.9909200802383795,863067.0
2007-03-28,4.3335832308753375,869803.0
2007-04-04,3.3225935160899667,862319.0
2007-04-11,3.4150194416761703,865441.0
