date,value
1994-04-01,23.098881443744947
1994-07-01,23.07922098737225
1994-10-01,22.956135296181717
1995-01-01,23.05387362809379
1995-04-01,23.391593480382593
1995-07-01,23.220889937362728
1995-10-01,23.127347835070594
1996-01-01,23.3475817655991
1996-04-01,23.319622947799285
1996-07-01,23.129462941719318
1996-10-01,22.8732854700209
1997-01-01,23.091769300539124
1997-04-01,23.24035298295246
1997-07-01,23.487239667715706
1997-10-01,23.341372432995243
1998-01-01,24.266236432045186
1998-04-01,25.10753147903848
1998-07-01,25.16240096997105
1998-10-01,24.84915253307218
1999-01-01,25.45470618323058
1999-04-01,25.892868202569545
1999-07-01,26.251410966006123
1999-10-01,25.848720360228196
2000-01-01,26.33696117615971
2000-04-01,26.377623510400365
2000-07-01,26.69247874985523
2000-10-01,26.365288378097436
2001-01-01,26.850343607509714
2001-04-01,27.386121332201153
2001-07-01,27.575981173841903
2001-10-01,27.723659333809547
2002-01-01,27.66075022024389
2002-04-01,27.510897858637367
2002-07-01,27.12808766173466
2002-10-01,26.88915622415287
2003-01-01,26.699763355157252
2003-04-01,26.6207574699238
2003-07-01,26.328919760736646
2003-10-01,25.763495696738616
2004-01-01,25.877005198245108
2004-04-01,25.432998027295884
2004-07-01,25.09223865767835
2004-10-01,24.627367266177462
2005-01-01,24.259697793250655
2005-04-01,23.95211944046177
2005-07-01,23.65803618480972
2005-10-01,23.209731703297248
2006-01-01,22.931041329023262
2006-04-01,23.109299909607962
2006-07-01,23.074128483334185
2006-10-01,23.125895683340502
2007-01-01,23.27675320672968
2007-04-01,23.71965386671177
2007-07-01,23.53659339594704
2007-10-01,23.54991737035627
2008-01-01,23.87367441609983
2008-04-01,24.311803392251736
2008-07-01,24.49029629440206
2008-10-01,25.07062296274649
2009-01-01,25.930596715298876
2009-04-01,26.404496804029918
2009-07-01,26.40180049916665
2009-10-01,26.219634926687817
2010-01-01,26.5117669887657
2010-04-01,26.430019960356987
2010-07-01,26.735616635671498
2010-10-01,26.706573981575072
2011-01-01,27.0402440212806
2011-04-01,27.0592090432812
2011-07-01,27.28045307675003
2011-10-01,27.167508118633837
2012-01-01,27.394812495390912
2012-04-01,27.651380273416954
2012-07-01,28.158457397790787
2012-10-01,28.71151460873197
2013-01-01,28.67284844015166
2013-04-01,28.98813875828987
2013-07-01,29.423148905870168
2013-10-01,29.21696980441913
2014-01-01,29.833249000537165
2014-04-01,29.8356515292284
2014-07-01,29.761486990618184
2014-10-01,30.003435112138572
2015-01-01,30.46620070751402
2015-04-01,31.019425612468943
2015-07-01,31.46684972295383
2015-10-01,31.567733941982645
2016-01-01,32.20752228781136
2016-04-01,32.40032360498259
2016-07-01,32.50047809625749
2016-10-01,32.1560172282189
2017-01-01,32.56744109621099
2017-04-01,32.75038283279342
2017-07-01,32.74984835670464
2017-10-01,32.47533773370662
2018-01-01,32.50945603457364
2018-04-01,32.15307465480636
2018-07-01,32.04272087766897
2018-10-01,31.915137427731043
2019-01-01,32.30717236021903
2019-04-01,32.28254984195206
2019-07-01,32.22499376184864
2019-10-01,31.890264889094926
2020-01-01,33.28758114825464
2020-04-01,38.298559731391826
2020-07-01,35.330029523456425
2020-10-01,34.834224952415795
2021-01-01,34.57350267031082
2021-04-01,33.66379790582308
2021-07-01,33.19581431016497
2021-10-01,32.0511816100848
2022-01-01,31.89661512374464
2022-04-01,30.983038279758023
2022-07-01,30.456483187618126
2022-10-01,29.97923760447782
2023-01-01,30.086905178100963
2023-04-01,29.816762080569763
2023-07-01,29.30861668840499
2023-10-01,29.03524614946102
2024-01-01,29.200971807285043
2024-04-01,28.95011926423825
2024-07-01,28.933129626306396
2024-10-01,28.561495450388197
2025-01-01,28.91684416472303
2025-04-01,28.489307242742996
2025-07-01,28.1477889256447
2025-10-01,27.95836448412805
